Class #,Date,Time,Day,Location,State,Format,01-Warmup,02-Squats,03-Chest,04-Back,05-Triceps,06-Biceps,07-Lunges,08-Shoulders,09-Core,10-Cooldown,Attendance,Launch,Class Type,Notes
1,22-Jun-18,18:30,Friday,Ballston,VA,60 min,BP-098,BP-104,BP-099,BP-099,BP-099,BP-100,BP-104,BP-104,BP-104,BP-104,0,No,Ballston (Friday night),Ballston (Friday 6:30 pm)
2,29-Jun-18,18:30,Friday,Ballston,VA,60 min,BP-099,BP-099,BP-098,BP-100 (Bonus),BP-104,BP-100,BP-104,BP-099,BP-105,BP-104,0,No,Ballston (Friday night),Ballston (Friday 6:30 pm)
3,7-Jul-18,9:35,Saturday,Courthouse,VA,60 min,BP-099,BP-104,BP-098,BP-100 (Bonus),BP-099,BP-100,BP-100 (Bonus),BP-104,BP-104,BP-105,27,No,Other,Other
4,13-Jul-18,18:30,Friday,Ballston,VA,60 min,BP-100,BP-099,BP-104,BP-104,BP-104,BP-104,BP-100 (Bonus),BP-104,BP-104,BP-104,29,No,Ballston (Friday night),Ballston (Friday 6:30 pm)
5,14-Jul-18,9:35,Saturday,Courthouse,VA,60 min,BP-100,BP-099,BP-099,BP-099,BP-104,BP-104,BP-100 (Bonus),BP-099,BP-104,BP-104,12,No,Other,Other
6,16-Jul-18,17:30,Monday,Falls Church,VA,60 min,BP-099,BP-104,BP-098,BP-100 (Bonus),BP-099,BP-100,BP-100 (Bonus),BP-104,BP-104,BP-104,30,No,Other,Other
7,19-Jul-18,20:30,Thursday,Ballston,VA,60 min,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,8,Launch,Other,Other
8,20-Jul-18,18:30,Friday,Ballston,VA,60 min,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,21,Launch,Ballston (Friday night),Ballston (Friday 6:30 pm)
9,22-Jul-18,9:00,Sunday,Clarendon,VA,60 min,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,14,Launch,Other,Other
10,23-Jul-18,19:00,Monday,Bailey's Crossroads,VA,60 min,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,13,Launch,Other,Other
11,3-Aug-18,18:30,Friday,Ballston,VA,60 min,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,30,Launch,Ballston (Friday night),Ballston (Friday 6:30 pm)
12,4-Aug-18,10:00,Saturday,DC (19th & L),DC,60 min,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,12,Launch,Other,Other
13,8-Aug-18,18:15,Wednesday,Courthouse,VA,45 min,BP-106,BP-098,BP-100,BP-100 (Bonus),BP-104 (Combo),BP-104 (Combo),BP-106 (Combo),BP-106 (Combo),BP-105,BP-105,17,No,Other,Other
14,14-Aug-18,19:30,Tuesday,South Arlington,VA,60 min,BP-099,BP-104,BP-098,BP-104,BP-104,BP-100,BP-104,BP-104,BP-104,BP-105,27,No,Other,Other
15,16-Aug-18,6:00,Thursday,Falls Church,VA,45 min,BP-098,BP-098,BP-100,BP-101,BP-104 (Combo),BP-104 (Combo),BP-106 (Combo),BP-106 (Combo),BP-105,BP-105,10,No,Other,Other
16,18-Aug-18,12:40,Saturday,Ballston,VA,60 min,BP-099,BP-104,BP-100,BP-099,BP-099,BP-100,BP-104,BP-104,BP-105,BP-106,27,No,Other,Other
17,24-Aug-18,18:30,Friday,Ballston,VA,60 min,BP-100,BP-103,BP-099,BP-101,BP-104,BP-104,BP-103,BP-105,BP-105,BP-101,19,No,Ballston (Friday night),Ballston (Friday 6:30 pm)
18,25-Aug-18,12:40,Saturday,Ballston,VA,60 min,BP-100,BP-103,BP-104,BP-101,BP-106,BP-104,BP-103,BP-105,BP-103,BP-101,19,No,Other,Other
19,10-Sep-18,19:00,Monday,Clarendon,VA,60 min,BP-104,BP-105,BP-100,BP-106,BP-099,BP-103,BP-100 (Bonus),BP-104,BP-103,BP-104,13,No,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
20,13-Sep-18,19:00,Thursday,Bailey's Crossroads,VA,60 min,BP-100,BP-105,BP-100,BP-100 (Bonus),BP-106,BP-100,BP-100 (Bonus),BP-105,BP-105,BP-101,11,No,Other,Other
21,14-Sep-18,19:00,Friday,Rockville/Randolph,MD,60 min,BP-100,BP-103,BP-099,BP-100 (Bonus),BP-106,BP-100,BP-104,BP-105,BP-106,BP-101,15,No,Other,Other
22,17-Sep-18,19:00,Monday,Clarendon,VA,60 min,BP-100,BP-103,BP-099,BP-100 (Bonus),BP-106,BP-100,BP-104,BP-105,BP-106,BP-101,10,No,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
23,22-Sep-18,12:15,Saturday,Fairfax Station,VA,60 min,BP-106,BP-104,BP-106,BP-101,BP-105,BP-103,BP-103,BP-099,BP-104,BP-106,17,No,Other,Other
24,24-Sep-18,19:00,Monday,Clarendon,VA,60 min,BP-106,BP-104,BP-106,BP-101,BP-105,BP-104,BP-103,BP-106,BP-104,BP-106,12,No,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
25,28-Sep-18,18:30,Friday,Ballston,VA,60 min,BP-103,BP-106,BP-104,BP-099,BP-105,BP-106,BP-106,BP-099,BP-104,BP-105,22,No,Ballston (Friday night),Ballston (Friday 6:30 pm)
26,1-Oct-18,19:00,Monday,Clarendon,VA,60 min,BP-103,BP-106,BP-104,BP-099,BP-105,BP-106,BP-106,BP-099,BP-104,BP-105,9,No,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
27,3-Oct-18,18:15,Wednesday,Courthouse,VA,45 min,BP-099,BP-106,BP-104,BP-101,BP-104 (Combo),BP-104 (Combo),BP-106 (Combo),BP-106 (Combo),BP-103,BP-105,17,No,Other,Other
28,4-Oct-18,6:00,Thursday,Falls Church,VA,60 min,BP-099,BP-106,BP-104,BP-101,BP-105,BP-106,BP-104,BP-099,BP-103,BP-105,17,No,Other,Other
29,5-Oct-18,18:30,Friday,Ballston,VA,60 min,BP-099,BP-105,BP-098,BP-101,BP-106,BP-100,BP-104,BP-099,BP-103,BP-105,26,No,Ballston (Friday night),Ballston (Friday 6:30 pm)
30,8-Oct-18,19:00,Monday,Clarendon,VA,60 min,BP-099,BP-105,BP-098,BP-101,BP-106,BP-100,BP-104,BP-099,BP-103,BP-105,8,No,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
31,9-Oct-18,19:00,Tuesday,Clarendon,VA,60 min,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,15,Launch,Other,Other
32,14-Oct-18,9:00,Sunday,Clarendon,VA,60 min,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,3,Launch,Other,Other
33,15-Oct-18,19:00,Monday,Clarendon,VA,60 min,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,14,Launch,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
34,22-Oct-18,19:00,Monday,Clarendon,VA,60 min,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,11,Launch,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
35,4-Oct-18,6:00,Thursday,Falls Church,VA,60 min,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,13,Launch,Other,Other
36,26-Oct-18,18:30,Friday,Ballston,VA,60 min,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,20,Launch,Ballston (Friday night),Ballston (Friday 6:30 pm)
37,27-Oct-18,12:40,Saturday,Ballston,VA,60 min,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,BP-107,22,Launch,Other,Other
38,29-Oct-18,19:00,Monday,Clarendon,VA,60 min,BP-099,BP-103,BP-099,BP-099,BP-104,BP-103,BP-103,BP-104,BP-103,BP-104,11,No,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
39,2-Nov-18,18:30,Friday,Ballston,VA,60 min,BP-102,BP-103,BP-099,BP-099,BP-104,BP-103,BP-103,BP-104,BP-103,BP-104,22,No,Ballston (Friday night),Ballston (Friday 6:30 pm)
40,5-Nov-18,19:00,Monday,Clarendon,VA,60 min,BP-102,BP-105,BP-104,BP-104,BP-105,BP-102,BP-099,BP-105,BP-103,BP-098,13,No,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
41,6-Nov-18,19:35,Tuesday,Rosslyn,VA,60 min,BP-102,BP-105,BP-104,BP-100 (Bonus),BP-106,BP-102,BP-099,BP-105,BP-103,BP-098,7,No,Other,Other
42,27-Nov-18,17:30,Tuesday,DC (Capitol Hill),DC,60 min,BP-103,BP-099,BP-102,BP-105,BP-100,BP-103,BP-104,BP-104 (Bonus),BP-103,BP-104,17,No,Other,Other
43,29-Nov-18,6:00,Thursday,Falls Church,VA,60 min,BP-103,BP-105,BP-102,BP-105,BP-100,BP-103,BP-104,BP-104 (Bonus),BP-103,BP-104,10,No,Other,Other
44,30-Nov-18,18:30,Friday,Ballston,VA,60 min,BP-103,BP-105,BP-102,BP-105,BP-100,BP-103,BP-107,BP-104 (Bonus),BP-103,BP-104,18,No,Ballston (Friday night),Ballston (Friday 6:30 pm)
45,1-Dec-18,12:40,Saturday,Ballston,VA,60 min,BP-106,BP-099,BP-099,BP-105,BP-100,BP-100,BP-100 (Bonus),BP-104 (Bonus),BP-103,BP-104,29,No,Other,Other
46,3-Dec-18,19:00,Monday,Clarendon,VA,60 min,BP-103,BP-105,BP-102,BP-105,BP-100,BP-103,BP-107,BP-104 (Bonus),BP-103,BP-104,6,No,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
47,6-Dec-18,6:00,Thursday,Falls Church,VA,60 min,BP-104,BP-102,BP-099,BP-100,BP-099,BP-102,BP-099,BP-100 (Bonus),BP-103,BP-101,13,No,Other,Other
48,8-Dec-18,10:00,Saturday,DC (19th & L),DC,60 min,BP-104,BP-102,BP-099,BP-100,BP-099,BP-106,BP-099,BP-100 (Bonus),BP-103,BP-101,10,No,Other,Other
49,10-Dec-18,19:00,Monday,Clarendon,VA,60 min,BP-104,BP-102,BP-098,BP-100,BP-099,BP-106,BP-099,BP-100 (Bonus),BP-101,BP-101,13,No,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
50,14-Dec-18,18:30,Friday,Ballston,VA,60 min,BP-104,BP-106,BP-100,BP-100 (Bonus),BP-106,BP-100,BP-100 (Bonus),BP-100 (Bonus),BP-101,BP-105,12,No,Ballston (Friday night),Ballston (Friday 6:30 pm)
51,17-Dec-18,19:00,Monday,Clarendon,VA,60 min,BP-100,BP-106,BP-104,BP-100 (Bonus),BP-106,BP-100,BP-100 (Bonus),BP-100 (Bonus),BP-105,BP-106,5,No,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
52,28-Dec-18,18:30,Friday,Ballston,VA,60 min,BP-098,BP-102,BP-102,BP-098,BP-105,BP-107,BP-099,BP-106,BP-101,BP-098,8,No,Ballston (Friday night),Ballston (Friday 6:30 pm)
53,29-Dec-18,9:35,Saturday,Courthouse,VA,60 min,BP-098,BP-102,BP-102,BP-098,BP-104,BP-103,BP-099,BP-105,BP-105,BP-098,14,No,Other,Other
54,30-Dec-18,9:00,Sunday,Clarendon,VA,60 min,BP-098,BP-102,BP-102,BP-098,BP-104,BP-103,BP-099,BP-105,BP-105,BP-098,4,No,Other,Other
55,5-Jan-19,12:40,Saturday,Ballston,VA,60 min,BP-099,BP-105,BP-107,BP-104,BP-105,BP-102,BP-103,BP-100 (Bonus),BP-101,BP-101,46,No,Other,Other
56,7-Jan-19,19:00,Monday,Clarendon,VA,60 min,BP-099,BP-103,BP-107,BP-104,BP-104,BP-102,BP-103,BP-106,BP-101,BP-101,20,No,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
57,11-Jan-19,18:30,Friday,Ballston,VA,60 min,BP-103,BP-107,BP-105,BP-107,BP-100,BP-100,BP-100 (Bonus),BP-104 (Bonus),BP-104,BP-104,26,No,Ballston (Friday night),Ballston (Friday 6:30 pm)
58,14-Jan-19,19:00,Monday,Clarendon,VA,60 min,BP-103,BP-107,BP-105,BP-107,BP-100,BP-107,BP-100 (Bonus),BP-104 (Bonus),BP-104,BP-104,7,No,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
59,19-Jan-19,9:25,Saturday,Courthouse,VA,60 min,BP-106,BP-103,BP-105,BP-105,BP-100,BP-102,BP-103,BP-100 (Bonus),BP-106,BP-106,19,No,Other,Other
60,21-Jan-19,19:00,Monday,Clarendon,VA,60 min,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,8,Launch,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
61,23-Jan-19,18:15,Wednesday,Courthouse,VA,45 min,BP-108,BP-108,BP-108,BP-108,BP-108 (Combo),BP-108 (Combo),BP-108 (Combo),BP-108 (Combo),BP-108,BP-108,25,Launch,Other,Other
62,25-Jan-19,18:30,Friday,Ballston,VA,60 min,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,25,Launch,Ballston (Friday night),Ballston (Friday 6:30 pm)
63,28-Jan-19,19:00,Monday,Clarendon,VA,60 min,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,14,Launch,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
64,1-Feb-19,18:30,Friday,Ballston,VA,60 min,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,BP-108,19,Launch,Ballston (Friday night),Ballston (Friday 6:30 pm)
65,8-Feb-19,18:30,Friday,Ballston,VA,60 min,BP-099,BP-104,BP-099,BP-105,BP-104,BP-102,BP-104,BP-104,BP-108,BP-108,23,No,Ballston (Friday night),Ballston (Friday 6:30 pm)
66,15-Feb-19,18:30,Friday,Ballston,VA,60 min,BP-102,BP-103 (Bonus),BP-103,BP-098,BP-108,BP-098,BP-098,BP-098,BP-106,BP-108,18,No,Ballston (Friday night),Ballston (Friday 6:30 pm)
67,18-Feb-19,17:30,Monday,Leesburg,VA,60 min,BP-106,BP-105,BP-098,BP-100 (Bonus),BP-106,BP-098,BP-100 (Bonus),BP-105,BP-103,BP-104,13,No,Other,Other
68,19-Feb-19,18:30,Tuesday,Ballston,VA,60 min,BP-104,BP-106,BP-103,BP-100 (Bonus),BP-106,BP-098,BP-100 (Bonus),BP-105,BP-103,BP-105,52,No,Other,Other
69,25-Feb-19,19:00,Monday,Clarendon,VA,60 min,BP-101,BP-103 (Bonus),BP-103,BP-098,BP-105,BP-098,BP-098,BP-107,BP-106,BP-099,9,No,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
70,1-Mar-19,18:30,Friday,Ballston,VA,60 min,BP-101,BP-098,BP-104,BP-099,BP-107,BP-100,BP-098,BP-108,BP-108,BP-099,17,No,Ballston (Friday night),Ballston (Friday 6:30 pm)
71,2-Mar-19,18:30,Saturday,Ballston,VA,60 min,BP-101,BP-098,BP-104,BP-099,BP-107,BP-100,BP-098,BP-108,BP-108,BP-099,33,No,Other,Other
72,4-Mar-19,19:00,Monday,Clarendon,VA,60 min,BP-106,BP-098,BP-104,BP-100,BP-101,BP-100,BP-098,BP-100 (Bonus),BP-102,BP-099,11,No,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
73,8-Mar-19,18:30,Friday,Ballston,VA,60 min,BP-106,BP-102,BP-105,BP-100,BP-101,BP-098,BP-104,BP-100 (Bonus),BP-102,BP-102 (Bonus),17,No,Ballston (Friday night),Ballston (Friday 6:30 pm)
74,12-Mar-19,18:30,Tuesday,Ballston,VA,60 min,BP-099,BP-103,BP-100,BP-105,BP-108,BP-103,BP-100 (Bonus),BP-106,BP-105,BP-102 (Bonus),45,No,Other,Other
75,18-Mar-19,19:00,Monday,Clarendon,VA,60 min,BP-108,BP-103,BP-100,BP-105,BP-104,BP-103,BP-104,BP-105,BP-105,BP-102 (Bonus),13,No,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
76,23-Mar-19,11:30,Saturday,Van Dorn,VA,60 min,BP-106,BP-103,BP-100,BP-108,BP-106,BP-098,BP-100 (Bonus),BP-100 (Bonus),BP-106,BP-102 (Bonus),13,No,Other,Other
77,28-Mar-19,18:00,Thursday,Clarendon,VA,60 min,BP-104,BP-103,BP-103,BP-108,BP-106,BP-098,BP-100 (Bonus),BP-100 (Bonus),BP-108,BP-102 (Bonus),18,No,Other,Other
78,1-Apr-19,19:00,Monday,Clarendon,VA,60 min,BP-100,BP-103 (Bonus),BP-102,BP-100,BP-099,BP-103,BP-108,BP-108,BP-101,BP-103,16,No,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
79,3-Apr-19,18:30,Wednesday,Falls Church,VA,60 min,BP-100,BP-103 (Bonus),BP-102,BP-100,BP-099,BP-103,BP-104,BP-105,BP-101,BP-103,13,No,Other,Other
80,4-Apr-19,18:00,Thursday,Clarendon,VA,60 min,BP-099,BP-105,BP-102,BP-101,BP-104,BP-103,BP-104,BP-105,BP-104,BP-103,17,No,Other,Other
81,8-Apr-19,19:00,Monday,Clarendon,VA,60 min,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,17,Launch,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
82,12-Apr-19,18:30,Friday,Ballston,VA,60 min,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,29,Launch,Ballston (Friday night),Ballston (Friday 6:30 pm)
83,13-Apr-19,12:40,Saturday,Ballston,VA,60 min,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,27,Launch,Other,Other
84,14-Apr-19,9:00,Sunday,Clarendon,VA,60 min,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,13,Launch,Other,Other
85,15-Apr-19,19:00,Monday,Clarendon,VA,60 min,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,9,Launch,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
86,22-Apr-19,19:00,Monday,Clarendon,VA,60 min,BP-101,BP-100,BP-106,BP-104,BP-107,BP-109,BP-109,BP-104 (Bonus),BP-098,BP-109,17,No,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
87,29-Apr-19,19:00,Monday,Clarendon,VA,60 min,BP-101,BP-103 (Bonus),BP-102,BP-105,BP-101,BP-099,BP-108,BP-105,BP-098,BP-109,8,No,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
88,30-Apr-19,18:30,Tuesday,Bailey's Crossroads,VA,60 min,BP-101,BP-103 (Bonus),BP-102,BP-105,BP-101,BP-103,BP-108,BP-105,BP-098,BP-105,4,No,Other,Other
89,2-May-19,19:00,Thursday,Bailey's Crossroads,VA,60 min,BP-107,BP-100,BP-105,BP-098,BP-103,BP-099,BP-105,BP-100 (Bonus),BP-098,BP-100,7,No,Other,Other
90,3-May-19,18:30,Friday,Ballston,VA,60 min,BP-107,BP-100,BP-105,BP-098,BP-103,BP-099,BP-105,BP-100 (Bonus),BP-098,BP-100,14,No,Ballston (Friday night),Ballston (Friday 6:30 pm)
91,6-May-19,19:00,Monday,Clarendon,VA,60 min,BP-107,BP-100,BP-105,BP-098,BP-103,BP-099,BP-105,BP-100 (Bonus),BP-098,BP-100,10,No,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
92,9-May-19,19:00,Thursday,Bailey's Crossroads,VA,60 min,BP-099,BP-106,BP-103,BP-100,BP-099,BP-098,BP-098,BP-104 (Bonus),BP-101,BP-101,4,No,Other,Other
93,10-May-19,18:30,Friday,Ballston,VA,60 min,BP-099,BP-105,BP-102,BP-104,BP-099,BP-103,BP-098,BP-104 (Bonus),BP-101,BP-101,21,No,Ballston (Friday night),Ballston (Friday 6:30 pm)
94,11-May-19,10:00,Saturday,Rosslyn,VA,60 min,BP-099,BP-105,BP-102,BP-104,BP-099,BP-103,BP-098,BP-100 (Bonus),BP-105,BP-101,4,No,Other,Other
95,17-May-19,18:30,Friday,Ballston,VA,60 min,BP-103,BP-098,BP-099,BP-106,BP-108,BP-106,BP-103,BP-106,BP-106,BP-104,25,No,Ballston (Friday night),Ballston (Friday 6:30 pm)
96,20-May-19,19:00,Monday,Clarendon,VA,60 min,BP-103,BP-098,BP-099,BP-106,BP-108,BP-106,BP-103,BP-106,BP-106,BP-104,4,No,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
97,21-May-19,18:30,Tuesday,Ballston,VA,60 min,BP-108,BP-100,BP-098,BP-108,BP-104,BP-100,BP-105,BP-100 (Bonus),BP-109,BP-105,40,No,Other,Other
98,24-May-19,18:30,Friday,Ballston,VA,60 min,BP-108,BP-106,BP-107,BP-108,BP-109,BP-100,BP-108,BP-107,BP-108,BP-108,18,No,Ballston (Friday night),Ballston (Friday 6:30 pm)
99,26-May-19,16:00,Sunday,Ballston,VA,60 min,BP-104,BP-102,BP-100,BP-099,BP-109,BP-104,BP-105,BP-108,BP-108,BP-109,14,No,Other,Other
