Class #,Time,Day,Location,01-Warmup,02-Squats,03-Chest,04-Back,05-Triceps,06-Biceps,07-Lunges,08-Shoulders,09-Core,10-Cooldown,Class Type,Notes
1,18:30,Friday,Ballston,BP-098,BP-104,BP-099,BP-099,BP-099,BP-100,BP-104,BP-104,BP-104,BP-104,Ballston (Friday night),Ballston (Friday 6:30 pm)
2,18:30,Friday,Ballston,BP-099,BP-099,BP-098,BP-100 (Bonus),BP-104,BP-100,BP-104,BP-099,BP-105,BP-104,Ballston (Friday night),Ballston (Friday 6:30 pm)
3,9:35,Saturday,Courthouse,BP-099,BP-104,BP-098,BP-100 (Bonus),BP-099,BP-100,BP-100 (Bonus),BP-104,BP-104,BP-105,Other,Other
4,18:30,Friday,Ballston,BP-100,BP-099,BP-104,BP-104,BP-104,BP-104,BP-100 (Bonus),BP-104,BP-104,BP-104,Ballston (Friday night),Ballston (Friday 6:30 pm)
5,9:35,Saturday,Courthouse,BP-100,BP-099,BP-099,BP-099,BP-104,BP-104,BP-100 (Bonus),BP-099,BP-104,BP-104,Other,Other
6,17:30,Monday,Falls Church,BP-099,BP-104,BP-098,BP-100 (Bonus),BP-099,BP-100,BP-100 (Bonus),BP-104,BP-104,BP-104,Other,Other
7,20:30,Thursday,Ballston,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,Other,Other
8,18:30,Friday,Ballston,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,Ballston (Friday night),Ballston (Friday 6:30 pm)
9,9:00,Sunday,Clarendon,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,Other,Other
10,19:00,Monday,Bailey's Crossroads,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,Other,Other
11,18:30,Friday,Ballston,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,Ballston (Friday night),Ballston (Friday 6:30 pm)
12,10:00,Saturday,DC (19th & L),BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,BP-106,Other,Other
13,18:15,Wednesday,Courthouse,BP-106,BP-098,BP-100,BP-100 (Bonus),BP-104 (Combo),BP-104 (Combo),BP-106 (Combo),BP-106 (Combo),BP-105,BP-105,Other,Other
14,19:30,Tuesday,South Arlington,BP-099,BP-104,BP-098,BP-104,BP-104,BP-100,BP-104,BP-104,BP-104,BP-105,Other,Other
15,6:00,Thursday,Falls Church,BP-098,BP-098,BP-100,BP-101,BP-104 (Combo),BP-104 (Combo),BP-106 (Combo),BP-106 (Combo),BP-105,BP-105,Other,Other
16,12:40,Saturday,Ballston,BP-099,BP-104,BP-100,BP-099,BP-099,BP-100,BP-104,BP-104,BP-105,BP-106,Other,Other
17,18:30,Friday,Ballston,BP-100,BP-103,BP-099,BP-101,BP-104,BP-104,BP-103,BP-105,BP-105,BP-101,Ballston (Friday night),Ballston (Friday 6:30 pm)
18,12:40,Saturday,Ballston,BP-100,BP-103,BP-104,BP-101,BP-106,BP-104,BP-103,BP-105,BP-103,BP-101,Other,Other
19,19:00,Monday,Clarendon,BP-104,BP-105,BP-100,BP-106,BP-099,BP-103,BP-100 (Bonus),BP-104,BP-103,BP-104,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
20,19:00,Thursday,Bailey's Crossroads,BP-100,BP-105,BP-100,BP-100 (Bonus),BP-106,BP-100,BP-100 (Bonus),BP-105,BP-105,BP-101,Other,Other
21,19:00,Friday,Rockville/Randolph,BP-100,BP-103,BP-099,BP-100 (Bonus),BP-106,BP-100,BP-104,BP-105,BP-106,BP-101,Other,Other
22,19:00,Monday,Clarendon,BP-100,BP-103,BP-099,BP-100 (Bonus),BP-106,BP-100,BP-104,BP-105,BP-106,BP-101,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
23,12:15,Saturday,Fairfax Station,BP-106,BP-104,BP-106,BP-101,BP-105,BP-103,BP-103,BP-099,BP-104,BP-106,Other,Other
24,19:00,Monday,Clarendon,BP-106,BP-104,BP-106,BP-101,BP-105,BP-104,BP-103,BP-106,BP-104,BP-106,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
25,18:30,Friday,Ballston,BP-103,BP-106,BP-104,BP-099,BP-105,BP-106,BP-106,BP-099,BP-104,BP-105,Ballston (Friday night),Ballston (Friday 6:30 pm)
26,19:00,Monday,Clarendon,BP-103,BP-106,BP-104,BP-099,BP-105,BP-106,BP-106,BP-099,BP-104,BP-105,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
27,18:15,Wednesday,Courthouse,BP-099,BP-106,BP-104,BP-101,BP-104 (Combo),BP-104 (Combo),BP-106 (Combo),BP-106 (Combo),BP-103,BP-105,Other,Other
28,6:00,Thursday,Falls Church,BP-099,BP-106,BP-104,BP-101,BP-105,BP-106,BP-104,BP-099,BP-103,BP-105,Other,Other
29,18:30,Friday,Ballston,BP-099,BP-105,BP-098,BP-101,BP-106,BP-100,BP-104,BP-099,BP-103,BP-105,Ballston (Friday night),Ballston (Friday 6:30 pm)
