Conference,Division,Team,Number,
AFC,AFC East,Buffalo Bills,30,
AFC,AFC East,Miami Dolphins,20,
AFC,AFC East,New England Patriots,12,
AFC,AFC East,New York Jets,23,
AFC,AFC North,Baltimore Ravens,24,
AFC,AFC North,Cincinnati Bengals,21,
AFC,AFC North,Cleveland Browns,27,
AFC,AFC North,Pittsburgh Steelers,15,
AFC,AFC South,Houston Texans,7,
AFC,AFC South,Indianapolis Colts,32,
AFC,AFC South,Jacksonville Jaguars,18,
AFC,AFC South,Tennessee Titans,23,
AFC,AFC West,Denver Broncos,1,
AFC,AFC West,Kansas City Chiefs,2,
AFC,AFC West,Las Vegas Raiders,4,
AFC,AFC West,Los Angeles Chargers,28,
NFC,NFC East,Dallas Cowboys,27,
NFC,NFC East,New York Giants,25,
NFC,NFC East,Philadelphia Eagles,27,
NFC,NFC East,Washington Football Team,18,
NFC,NFC North,Chicago Bears,5,
NFC,NFC North,Detroit Lions,25,
NFC,NFC North,Green Bay Packers,30,
NFC,NFC North,Minnesota Vikings,28,
NFC,NFC South,Atlanta Falcons,16,
NFC,NFC South,Carolina Panthers,14,
NFC,NFC South,New Orleans Saints,6,
NFC,NFC South,Tampa Bay Buccaneers,16,
NFC,NFC West,Arizona Cardinals,4,
NFC,NFC West,Los Angeles Rams,32,
NFC,NFC West,San Francisco 49ers,23,
NFC,NFC West,Seattle Seahawks,8,
