League,Conference,Division,Team,Number
NFL,AFC,AFC East,Buffalo Bills,0
NFL,AFC,AFC East,Miami Dolphins,0
NFL,AFC,AFC East,New England Patriots,0
NFL,AFC,AFC East,New York Jets,0
NFL,AFC,AFC North,Baltimore Ravens,0
NFL,AFC,AFC North,Cincinnati Bengals,0
NFL,AFC,AFC North,Cleveland Browns,0
NFL,AFC,AFC North,Pittsburgh Steelers,0
NFL,AFC,AFC South,Houston Texans,0
NFL,AFC,AFC South,Indianapolis Colts,0
NFL,AFC,AFC South,Jacksonville Jaguars,0
NFL,AFC,AFC South,Tennessee Titans,0
NFL,AFC,AFC West,Denver Broncos,0
NFL,AFC,AFC West,Kansas City Chiefs,0
NFL,AFC,AFC West,Las Vegas Raiders,0
NFL,AFC,AFC West,Los Angeles Chargers,0
NFL,NFC,NFC East,Dallas Cowboys,0
NFL,NFC,NFC East,New York Giants,0
NFL,NFC,NFC East,Philadelphia Eagles,0
NFL,NFC,NFC East,Washington Football Team,0
NFL,NFC,NFC North,Chicago Bears,0
NFL,NFC,NFC North,Detroit Lions,0
NFL,NFC,NFC North,Green Bay Packers,0
NFL,NFC,NFC North,Minnesota Vikings,0
NFL,NFC,NFC South,Atlanta Falcons,0
NFL,NFC,NFC South,Carolina Panthers,0
NFL,NFC,NFC South,New Orleans Saints,0
NFL,NFC,NFC South,Tampa Bay Buccaneers,0
NFL,NFC,NFC West,Arizona Cardinals,0
NFL,NFC,NFC West,Los Angeles Rams,0
NFL,NFC,NFC West,San Francisco 49ers,0
NFL,NFC,NFC West,Seattle Seahawks,0
